passport,destination,purpose,visaType,requirement,maxStayDays,multipleEntry,ordinaryPassport,sourceName,sourceUrl,notes
"PK","AF","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AL","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","DZ","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AD","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AO","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AG","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AR","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AM","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AU","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AT","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","AZ","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BS","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BH","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BD","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BB","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BY","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BE","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BZ","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BJ","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BT","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BO","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BA","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BW","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
"PK","BR","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for Pakistani passport holders."
