passport,destination,purpose,visaType,requirement,maxStayDays,multipleEntry,ordinaryPassport,sourceName,sourceUrl,notes
"SA","GB","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","US","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","CA","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","AU","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","NZ","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","FR","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","DE","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","IT","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","ES","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","NL","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","CH","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","AT","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","TR","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","JP","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","KR","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","CN","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","IN","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","PK","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","AE","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","QA","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","OM","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","BH","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","SG","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","MY","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","TH","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","ID","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
"SA","VN","TOURISM","TOURIST","VISA_REQUIRED","90","false","true","Official Government Immigration Source","","Tourism visa requirement information for SA passport holders."
